Team,Player,Number,Positon,G,PTS,REB,AST,STL,TO,PF
TrailBlazers,Nicolas Batum,88,Forward,71,9.4,5.9,4.8,1.1,1.9,1.5
TrailBlazers,Steve Blake,5,Guard,81,4.3,1.7,3.6,0.5,1.3,1.5
TrailBlazers,Allen Crabbe,23,Forward,51,3.3,1.4,0.8,0.4,0.3,1.5
TrailBlazers,Tim Frazier,10,Guard,11,5.2,2.5,5.5,0.7,2.3,2.4
TrailBlazers,Joel Freeland,19,Center-Forward,48,3.5,4,0.3,0.2,0.5,1.9
TrailBlazers,Alonzo Gee,33,Forward,54,4.5,1.7,0.5,0.6,0.6,1.1
TrailBlazers,Chris Kaman,35,Center,74,8.6,6.5,0.9,0.2,1.5,1.9
TrailBlazers,Meyers Leonard,11,Center,55,5.9,4.5,0.6,0.2,0.7,2.1
TrailBlazers,Damian Lillard,1,Guard,82,21,4.6,6.2,1.2,2.7,2
TrailBlazers,Robin Lopez,42,Center,59,9.6,6.7,0.9,0.3,1.2,2.1
TrailBlazers,Wesley Matthews,2,Guard,60,15.9,3.7,2.3,1.3,1.4,2.2
TrailBlazers,CJ McCollum,3,Guard,62,6.8,1.5,1,0.7,0.8,1.3
TrailBlazers,Dorell Wright,1,Forward,48,4.6,2.3,0.9,0.4,0.4,1.1
Jazz,Trevor Booker,33,Forward,79,7.2,5,1.1,0.5,1.1,1.8
Jazz,Trey Burke,3,Guard,76,12.8,2.7,4.3,0.9,1.6,1.6
Jazz,Alec Burks,10,Guard,27,13.9,4.2,3,0.6,1.9,2.4
Jazz,Jack Cooley,45,Forward,16,1.7,1.6,0.1,0.4,0.2,1.4
Jazz,Bryce Cotton,8,Guard,15,5.3,1.2,1,0.3,0.8,0.4
Jazz,Jeremy Evans,40,Forward,38,2.4,1.9,0.3,0.3,0.1,0.8
Jazz,Dante Exum,11,Guard,82,4.8,1.6,2.4,0.5,1.4,1.8
Jazz,Derrick Favors,15,Forward,74,16,8.2,1.5,0.8,1.6,2.8
Jazz,Rudy Gobert,27,Center,82,8.4,9.5,1.3,0.8,1.4,2.1
Jazz,Gordon Hayward,20,Forward,76,19.3,4.9,4.1,1.4,2.7,1.7
Jazz,Rodney Hood,5,Guard-Forward,50,8.7,2.3,1.7,0.6,0.9,2.4
Jazz,Joe Ingles,2,Guard-Forward,79,5,2.2,2.3,0.9,1.2,1.6
Jazz,Grant Jerrett,17,Forward,8,2,1.1,0.4,0.3,0.4,1.4
Jazz,Chris Johnson,23,Forward,29,5.7,1.9,0.5,0.9,0.5,1.5
Jazz,Elijah Millsap,13,Guard,47,5.3,3.2,1.2,1.2,1.4,2.6
Warriors,Leandro Barbosa,19,Guard,66,7.1,1.4,1.5,0.6,0.7,1.3
Warriors,Harrison Barnes,40,Forward,82,10.1,5.5,1.4,0.7,0.9,1.8
Warriors,Andrew Bogut,12,Center,67,6.3,8.1,2.7,0.6,1.6,2.8
Warriors,Stephen Curry,30,Guard,80,23.8,4.3,7.7,2,3.1,2
Warriors,Festus Ezeli,31,Center,46,4.4,3.4,0.2,0.2,0.7,1.7
Warriors,Draymond Green,23,Forward,79,11.7,8.2,3.7,1.6,1.7,3.2
Warriors,Justin Holiday,7,Guard,59,4.3,1.2,0.8,0.7,0.5,0.9
Warriors,Andre Iguodala,9,Guard-Forward,77,7.8,3.3,3,1.2,1.1,1.3
Warriors,Ognjen Kuzmic,1,Center,16,1.3,1.1,0.4,0.1,0.3,0.8
Warriors,David Lee,10,Forward-Center,49,7.9,5.2,1.7,0.6,1,1.7
Warriors,Shaun Livingston,34,Guard,78,5.9,2.3,3.3,0.6,1.3,1.4
Warriors,James Michael McAdoo,20,Forward,15,4.1,2.5,0.1,0.3,0.4,1.4
Warriors,Brandon Rush,4,Guard-Forward,33,0.9,1.2,0.4,0.2,0.3,0.8
Warriors,Marreese Speights,5,Center-Forward,76,10.4,4.3,0.9,0.3,1.1,2.5
Warriors,Klay Thompson,11,Guard,77,21.7,3.2,2.9,1.1,1.9,1.6
Clippers,Matt Barnes,22,Forward,76,10.1,4,1.5,0.9,1.1,3.2
Clippers,Jamal Crawford,11,Guard,64,15.8,1.9,2.5,0.9,1.4,1.7
Clippers,Glen Davis,1,Forward-Center,74,4,2.3,0.5,0.6,0.5,1.8
Clippers,Blake Griffin,32,Forward,67,21.9,7.6,5.3,0.9,2.3,2.9
Clippers,Jordan Hamilton,1,Guard-Forward,14,2.7,1.1,0.5,0.1,0.3,1
Clippers,Spencer Hawes,10,Forward-Center,73,5.8,3.5,1.2,0.3,0.8,2.4
Clippers,Lester Hudson,14,Guard,5,3.6,1.6,1,1.2,0.6,0.8
Clippers,Dahntay Jones,31,Guard-Forward,33,0.6,0.3,0.1,0.1,1,0.7
Clippers,DeAndre Jordan,6,Center,82,11.5,15,0.7,1,1.3,3
Clippers,Chris Paul,3,Guard,82,19.1,4.6,10.2,1.9,2.3,2.5
Clippers,JJ Redick,4,Guard,78,16.4,2.1,1.8,0.5,1.2,1.7
Clippers,Austin Rivers,25,Guard,76,7,2,2,0.6,0.9,1.9
Clippers,Hedo Turkoglu,15,Forward,62,3.7,1.6,0.6,0.3,0.5,1.1
Clippers,Ekpe Udoh,13,Forward,33,0.9,0.8,0.2,0.2,0.2,0.6
Clippers,CJ Wilcox,30,Guard,21,2,0.3,0.4,0.1,0.5,0.3
Lakers,Tarik Black,28,Center-Forward,63,6,5.8,0.7,0.3,0.8,2.5
Lakers,Vander Blue,12,Guard,2,11,4.5,4,1.5,3,2
Lakers,Carlos Boozer,5,Forward,71,11.8,6.8,1.3,0.6,1.3,2.6
Lakers,Jabari Brown,15,Guard,19,11.9,1.9,2.1,0.6,1.7,1.7
Lakers,Kobe Bryant,24,Guard,35,22.3,5.7,5.6,1.3,3.7,1.9
Lakers,Jordan Clarkson,6,Guard,59,11.9,3.2,3.5,0.9,1.6,1.8
Lakers,Ed Davis,21,Forward,79,8.3,7.6,1.2,0.6,0.7,2.6
Lakers,Wayne Ellington,2,Guard,65,10,3.2,1.6,0.5,0.8,1.2
Lakers,Jordan Hill,27,Center,70,12,7.9,1.5,0.5,1.5,2.3
Lakers,Wesley Johnson,11,Forward,76,9.9,4.2,1.6,0.8,1.1,2.1
Lakers,Ryan Kelly,4,Forward,52,6.4,2.8,1.8,0.6,0.7,2.3
Lakers,Jeremy Lin,17,Guard,74,11.2,2.6,4.6,1.1,2.2,2.6
Lakers,Ronnie Price,9,Guard,43,5.1,1.6,3.8,1.6,1.2,2.7
Lakers,Julius Randle,30,Forward,1,2,1,1,1,1,1
Lakers,Robert Sacre,50,Center,67,4.6,3.5,0.8,0.4,0.5,1.8
Lakers,Nick Young,1,Forward-Guard,42,13.4,2.3,1,0.5,1,2
Suns,Earl Barron,30,Forward-Center,16,2,1.8,0.3,0.3,0.3,1.6
Suns,Eric Bledsoe,2,Guard,81,17,5.2,6.1,1.6,3.4,2.3
Suns,Reggie Bullock,25,Guard,36,1.9,1.4,0.2,0.3,0.2,0.5
Suns,Archie Goodwin,20,Guard,41,5.6,1.8,1.1,0.4,1.2,1.3
Suns,Gerald Green,14,Guard-Forward,74,11.9,2.5,1.2,0.6,1.4,2
Suns,Brandon Knight,3,Guard,63,17,3.9,5.2,1.4,3,1.8
Suns,Alex Len,21,Center,69,6.3,6.6,0.5,0.5,1.1,3.1
Suns,Jerel McNeal,8,Guard,6,1.5,0.5,0.3,0.5,0.8,0.8
Suns,Markieff Morris,11,Forward,82,15.3,6.2,2.3,1.2,2.1,3
Suns,Marcus Morris,15,Forward,81,10.4,4.8,1.6,0.8,0.9,2.3
Suns,Marcus Thornton,23,Guard,48,7.9,1.8,0.8,0.6,0.6,0.8
Suns,PJ Tucker,17,Forward-Guard,78,9.1,6.4,1.6,1.4,1.2,2.3
Suns,TJ Warren,12,Forward,40,6.1,2.1,0.6,0.5,0.7,1.3
Suns,Brandan Wright,32,Forward,75,7.3,4.3,0.5,0.7,0.5,1.4
Kings,Omri Casspi,18,Forward,67,8.9,3.9,1.5,0.5,1.3,1.6
Kings,Darren Collison,7,Guard,45,16.1,3.2,5.6,1.5,2.5,2.1
Kings,DeMarcus Cousins,15,Center,59,24.1,12.7,3.6,1.5,4.3,4.1
Kings,Reggie Evans,30,Center-Forward,47,3.7,6.4,0.7,0.5,1,1.9
Kings,Rudy Gay,8,Forward,68,21.1,5.9,3.7,1,2.7,2.3
Kings,Ryan Hollins,5,Center,46,3,2.2,0.3,0.1,0.5,1.4
Kings,Carl Landry,24,Forward,70,7.2,3.8,0.4,0.2,0.8,1.9
Kings,Ray McCallum,3,Guard,68,7.4,2.6,2.8,0.7,1.3,1.4
Kings,Ben McLemore,23,Guard,82,12.1,2.9,1.7,0.9,1.7,2.7
Kings,Andre Miller,22,Guard,81,4.4,1.9,3.5,0.4,1.3,1.3
Kings,Eric Moreland,25,Forward,3,0.7,0.3,1,1,1,0.3
Kings,Nik Stauskas,10,Guard,73,4.4,1.2,0.9,0.3,0.5,1.3
Kings,David Stockton,9,Guard,3,2.7,0.7,3,0.7,1.3,0.3
Kings,Jason Thompson,34,Forward,81,6.1,6.5,1,0.4,1,3
Kings,Derrick Williams,13,Forward,74,8.3,2.7,0.7,0.5,0.8,0.9
Mavericks,MontaEllis,11,Guard,80,18.9,2.4,4.1,1.85,2.5,2.5
Mavericks,DirkNowitzki,41,Forward,77,17.3,5.9,1.9,0.51,1.1,2.1
Mavericks,ChandlerParsons,25,Forward-Guard,66,15.7,4.9,2.4,1.05,1.5,2.1
Mavericks,Amar'eStoudemire,1,Center,23,10.8,3.7,0.3,0.39,0.7,2.2
Mavericks,TysonChandler,6,Center,75,10.3,11.5,1.1,0.56,1.4,2.3
Mavericks,RajonRondo,9,Guard,46,9.3,4.5,6.5,1.17,2.9,2.4
Mavericks,BrandanWright,1,Forward,27,8.8,4.1,0.4,0.63,0.5,1.6
Mavericks,DevinHarris,20,Guard,76,8.8,1.8,3.1,1.03,1.1,1.9
Mavericks,J.J.Barea,5,Guard,77,7.5,1.7,3.4,0.43,0.9,1.4
Mavericks,JameerNelson,1,Guard,23,7.3,2.7,4.1,0.65,1.7,2.3
Mavericks,CharlieVillanueva,3,Forward,64,6.3,2.3,0.3,0.23,0.4,1
Mavericks,RichardJefferson,24,Forward-Guard,74,5.8,2.5,0.8,0.43,0.7,1.6
Mavericks,Al-FarouqAminu,7,Forward-Guard,74,5.6,4.6,0.8,0.95,0.7,1.9
Mavericks,RaymondFelton,2,Guard,29,3.7,0.9,1.4,0.38,0.6,0.6
Mavericks,JaeCrowder,1,Forward-Guard,25,3.6,1.2,0.5,0.6,0.4,1
Mavericks,DwightPowell,8,Forward,24,3.4,2,0.4,0.29,0.4,1.6
Mavericks,BernardJames,55,Center,16,2.8,2.4,0.3,0.13,0.4,1.1
Mavericks,GregSmith,4,Forward,42,1.9,1.9,0.2,0.17,0.3,1.3
Mavericks,RickyLedo,1,Guard-Forward,5,0.2,0.4,0.2,0,0.4,0.2

