League,Team,Name,Age,Number,Position,Minutes,Goals,Assists,SV%,Yellow Cards,Red Cards
MLS,D.C. United,Luis Silva,26,11,M,49,1,0,0,0,0
MLS,D.C. United,Jairo Arrieta,32,19,F,423,1,0,0,0,0
MLS,D.C. United,Chris Pontius,27,13,F,515,1,0,0,0,0
MLS,D.C. United,Davy Arnaud,34,8,M,540,0,2,0,2,0
MLS,D.C. United,Nick DeLeon,24,14,M,347,0,1,0,0,0
MLS,D.C. United,Taylor Kemp,24,2,D,380,0,1,0,1,0
MLS,D.C. United,Collin Martin,20,27,M,0,0,0,0,0,0
MLS,D.C. United,Eddie Johnson,31,7,F,0,0,0,0,0,0
MLS,D.C. United,Fabian Espindola,29,10,F,0,0,0,0,0
MLS,D.C. United,Jalen Robinson,20,20,D,0,0,0,0,0,0
MLS,D.C. United,Luke Mishu,23,34,D,0,0,0,0,0,0
MLS,D.C. United,Marcus Halsti,31,4,D,0,0,0,0,0,0
MLS,D.C. United,Travis Worra,22,48,GK,0,0,0,0,0,0
MLS,D.C. United,Jared Jeffrey,24,25,M,1,0,0,0,0,0
MLS,D.C. United,Miguel Aguilar,21,17,M,23,0,0,0,0,0
MLS,D.C. United,Andrew Dykstra,29,50,GK,90,0,0,80,0,0
MLS,D.C. United,Conor Doyle,23,30,F,117,0,0,0,0,0
MLS,D.C. United,Chris Korb,27,22,D,160,0,0,0,0,0
MLS,D.C. United,Steve Birnbaum,24,15,D,185,0,0,0,0,0
MLS,D.C. United,Michael Farfan,26,12,M,194,0,0,0,0,0
MLS,D.C. United,Kofi Opare,24,6,D,355,0,0,0,0,0
MLS,D.C. United,Bill Hamid,24,28,GK,450,0,0,81,0,0
MLS,D.C. United,Bobby Boswell,32,32,D,540,0,0,0,2,0
MLS,D.C. United,Sean Franklin,30,5,D,540,0,0,0,0,0
MLS,F.C. Dallas,Blas Perez,34,7,F,467,4,1,0,0,0
MLS,F.C. Dallas,Fabian Castillo,22,11,F,628,3,2,0,0,0
MLS,F.C. Dallas,Tesho Akindele,23,13,F,550,2,1,0,0,0
MLS,F.C. Dallas,Ryan Hollingshead,24,12,M,453,1,1,0,2,0
MLS,F.C. Dallas,Michel,33,31,D,454,0,3,0,1,0
MLS,F.C. Dallas,Moises Hernandez,23,3,D,405,0,2,0,0,0
MLS,F.C. Dallas,Atiba Harris,30,14,M,499,0,1,0,3,0
MLS,F.C. Dallas,Alex Zendejas,17,29,M,0,0,0,0,0,0
MLS,F.C. Dallas,Coy Craft,17,16,F,0,0,0,0,0,0
MLS,F.C. Dallas,Dan Kennedy,32,1,GK,0,0,0,0,0,0
MLS,F.C. Dallas,Danny Garcia,21,26,M,0,0,0,0,0,0
MLS,F.C. Dallas,Jesse Gonzalez,19,44,GK,0,0,0,0,0,0
MLS,F.C. Dallas,Otis Earle,23,33,D,0,0,0,0,0,0
MLS,F.C. Dallas,Stephen Keel,32,22,D,0,0,0,0,0,0
MLS,F.C. Dallas,Kellyn Acosta,19,23,M,18,0,0,0,0,1
MLS,F.C. Dallas,Kyle Bekker24,4,M,57,0,0,0,1,0
MLS,F.C. Dallas,Michael Barrios,23,21,M,117,0,0,0,0,0
MLS,F.C. Dallas,David Texeira,24,9,F,124,0,0,0,1,0
MLS,F.C. Dallas,Je-Vaughn Watson,31,27,M,201,0,0,0,1,0
MLS,F.C. Dallas,Walker Zimmerman,21,25,D,212,0,0,0,1,0
MLS,F.C. Dallas,Mauro Diaz,24,10,M,242,0,0,0,0,0
MLS,F.C. Dallas,Matt Hedges,25,24,D,540,0,0,0,0,0
MLS,F.C. Dallas,Chris Seitz,28,18,GK,630,0,0,63,0,0
MLS,F.C. Dallas,Victor Ulloa,23,8,M,630,0,0,0,1,0
MLS,F.C. Dallas,Zach Loyd,27,17,D,630,0,0,0,0,0
MLS,Houston Dynamo,Giles Barnes,26,10,F,538,2,0,0,1,0
MLS,Houston Dynamo,Ricardo Clark,32,13,M,561,2,0,0,3,0
MLS,Houston Dynamo,Rob Lovejoy,23,3,M,150,1,1,0,0,0
MLS,Houston Dynamo,Nathan Sturgis,27,6,M,439,1,0,0,0,0
MLS,Houston Dynamo,Boniek Garcia,30,27,M,388,0,1,0,0,0
MLS,Houston Dynamo,David Horst,29,18,D,425,0,1,0,0,0
MLS,Houston Dynamo,Brad Davis,33,11,M,630,0,1,0,0,0
MLS,Houston Dynamo,Kofi Sarkodie,24,2,D,630,0,1,0,3,0
MLS,Houston Dynamo,Alex,26,14,M,0,0,0,0,0,0
MLS,Houston Dynamo,Corey Ashe,29,26,D,0,0,0,0,0,0
MLS,Houston Dynamo,Erick Torres,22,9,F,0,0,0,0,0,0
MLS,Houston Dynamo,Joe Willis,26,31,GK,0,0,0,0,0,0
MLS,Houston Dynamo,Memo Rodriguez,19,28,M,0,0,0,0,0,0
MLS,Houston Dynamo,Michael Lisch,24,30,GK,0,0,0,0,0,0
MLS,Houston Dynamo,Oumar Ballo,24,19,D,0,0,0,0,0,0
MLS,Houston Dynamo,Taylor Hunter,21,23,D,0,0,0,0,0,0
MLS,Houston Dynamo,Chandler Hoffman,24,17,F,10,0,0,0,0,0
MLS,Houston Dynamo,Zach Steinberger,22,21,M,21,0,0,0,0,0
MLS,Houston Dynamo,A.J. Cochran,22,16,D,35,0,0,0,0,0
MLS,Houston Dynamo,Alexander Lopez,22,15,M,148,0,0,0,1,0
MLS,Houston Dynamo,Leonel Miranda,21,33,M,187,0,0,0,0,0
MLS,Houston Dynamo,Will Bruin,25,12,F,265,0,0,0,0,0
MLS,Houston Dynamo,Raul Rodriguez,27,5,D,295,0,0,0,0,0
MLS,Houston Dynamo,Luis Garrido,24,8,M,443,0,0,0,2,0
MLS,Houston Dynamo,Jermaine Taylor,30,4,D,540,0,0,0,2,0
MLS,Houston Dynamo,DaMarcus Beasley,32,7,D,,595,0,0,0,0,0
MLS,Houston Dynamo,Tyler Deric,26,1,GK,630,0,0,90,1,0
MLS,LA Galaxy,Alan Gordon,33,9,F,338,2,0,0,1,0
MLS,LA Galaxy,Robbie Keane,34,7,F,360,2,0,0,0,0
MLS,LA Galaxy,Jose Villarreal,21,5,F,329,1,2,0,0,0
MLS,LA Galaxy,Omar Gonzalez,26,4,D,552,1,2,0,0,0
MLS,LA Galaxy,Baggio Husidic,27,6,M,510,1,1,0,2,0
MLS,LA Galaxy,Gyasi Zardes,23,11,F,471,1,0,0,1,0
MLS,LA Galaxy,Juninho,26,19,M,630,0,2,0,3,0
MLS,LA Galaxy,Stefan Ishizaki,32,24,M,587,0,1,0,0,0
MLS,LA Galaxy,Brian Perk,25,1,GK,0,0,0,0,0,0
MLS,LA Galaxy,Ignacio Maganto,23,15,F,0,0,0,0,0,0
MLS,LA Galaxy,Jack McBean,20,32,F,0,0,0,0,0,0
MLS,LA Galaxy,Oscar Sorto,20,36,D,0,0,0,0,0,0
MLS,LA Galaxy,Raul Mendiola,20,40,F,0,0,0,0,0,0
MLS,LA Galaxy,Trey Mitchell,23,31,GK,0,0,0,0,0,0
MLS,LA Galaxy,Edson Buddle,33,16,F,48,0,0,0,0,0
MLS,LA Galaxy,Kenney Walker,26,34,M,63,0,0,0,1,0
MLS,LA Galaxy,Todd Dunivant,34,2,D,67,0,0,0,0,0
MLS,LA Galaxy,Bradford Jamieson,18,38,F,90,0,0,0,0,0
MLS,LA Galaxy,Rafael Garcia,26,25,M,160,0,0,0,0,0
MLS,LA Galaxy,Tommy Meyer,25,21,D,161,0,0,0,0,0
MLS,LA Galaxy,Mika Vayrynen,33,3,M,186,0,0,0,1,0
MLS,LA Galaxy,Brian Rowe,26,12,GK,270,0,0,63,0,0
MLS,LA Galaxy,Leonardo,27,22,D,327,0,0,0,0,0
MLS,LA Galaxy,Jaime Penedo,33,18,GK,360,0,0,83,0,0
MLS,LA Galaxy,A.J. DeLaGarza,27,20,D,367,0,0,0,0,0
MLS,LA Galaxy,Dan Gargan,32,33,D,467,0,0,0,3,0
MLS,LA Galaxy,Robbie Rogers,27,14,M,587,0,0,0,0,0
MLS,Montreal Impact,Ignacio Piatti,30,10,M,256,1,0,0,1,0
MLS,Montreal Impact,Jack McInerney,22,99,F,315,1,0,0,1,0
MLS,Montreal Impact,Adrian Lopez,28,26,D,0,0,0,0,0,0
MLS,Montreal Impact,Anthony Jackson-Hamel,21,24,F,0,0,0,0,0,0
MLS,Montreal Impact,Blake Smith,24,19,M,0,0,0,0,0,0
MLS,Montreal Impact,Eric Miller,22,3,D,0,0,0,0,0,0
MLS,Montreal Impact,Maxime Crepeau,20,40,GK,0,0,0,0,0,0
MLS,Montreal Impact,Jeremy Gagnon-Lapare,20,28,M,6,0,0,0,0,0
MLS,Montreal Impact,Romario Williams,20,17,F,6,0,0,0,0,0
MLS,Montreal Impact,Cameron Porter,21,39,F,39,0,0,0,0,0
MLS,Montreal Impact,Marco Donadel,32,33,M,69,0,0,0,1,0
MLS,Montreal Impact,Patrice Bernier,35,8,M,81,0,0,0,0,0
MLS,Montreal Impact,Justin Mapp,30,21,M,86,0,0,0,0,0
MLS,Montreal Impact,Eric Kronberg,31,22,GK,90,0,0,33,0,0
MLS,Montreal Impact,Maxim Tissot,23,51,M,90,0,0,0,0,0
MLS,Montreal Impact,Wandrille Lefevre,25,55,D,90,0,0,0,1,0
MLS,Montreal Impact,Andres Romero,25,15,M,145,0,0,0,0,0
MLS,Montreal Impact,Dilly Duka,25,11,M,157,0,0,0,0,0
MLS,Montreal Impact,Hassoun Camara,31,6,D,159,0,0,0,1,1
MLS,Montreal Impact,Dominic Oduro,29,7,F,173,0,0,0,1,0
MLS,Montreal Impact,Calum Mallace,25,16,M,180,0,0,0,1,0
MLS,Montreal Impact,Victor Cabrera,22,36,D,262,0,0,0,1,0
MLS,Montreal Impact,Bakary Soumare,29,5,D,270,0,0,0,0,0
MLS,Montreal Impact,Evan Bush,29,1,GK,270,0,0,64,0,0
MLS,Montreal Impact,Laurent Ciman,29,23,D,270,0,0,0,0,0
MLS,Montreal Impact,Eric Alexander,27,29,M,278,0,0,0,1,0
MLS,Montreal Impact,Nigel Reo-Coker,30,14,M,279,0,0,0,2,0
MLS,Montreal Impact,Donny Toia,22,25,D,360,0,0,0,0,0
MLS,New England Revolution,Lee Nguyen,28,24,M,521,1,1,0,1,0
MLS,New England Revolution,Charlie Davies,28,9,F,343,1,0,0,1,0
MLS,New England Revolution,Juan Agudelo,22,17,F,507,1,0,0,2,0
MLS,New England Revolution,Diego Fagundez,20,14,M,289,0,1,0,0,0
MLS,New England Revolution,Daigo Kobayashi,32,16,M,303,0,1,0,0,0
MLS,New England Revolution,Darrius Barnes,28,25,D,391,0,1,0,0,0
MLS,New England Revolution,Chris Tierney,29,8,D-M,480,0,1,0,1,0
MLS,New England Revolution,Brad Knighton,30,18,GK,0,0,0,0,0,0
MLS,New England Revolution,Donnie Smith,24,33,M,0,0,0,0,0,0
MLS,New England Revolution,Jerry Bengtson,28,27,F,0,0,0,0,0,0
MLS,New England Revolution,Timi Mulgrew,22,92,F,0,0,0,0,0,0
MLS,New England Revolution,Trevor Spangenberg,24,26,GK,0,0,0,0,0,0
MLS,New England Revolution,Tyler Rudy,21,29,M,0,0,0,0,0,0
MLS,New England Revolution,Sean Okoli,22,7,F,33,0,0,0,0,0,0
MLS,New England Revolution,Steve Neumann,23,4,M-F,38,0,0,0,0,0
MLS,New England Revolution,Jeremy Hall,26,5,M,90,0,0,0,1,0
MLS,New England Revolution,London Woodberry,23,28,D,90,0,0,0,0,0
MLS,New England Revolution,Jermaine Jones,33,13,M,135,0,0,0,1,0
MLS,New England Revolution,Kevin Alston,26,30,D,328,0,0,0,0,0
MLS,New England Revolution,Andy Dorman,32,12,M,372,0,0,0,3,0
MLS,New England Revolution,Jose Goncalves,29,23,D,397,0,0,0,1,1
MLS,New England Revolution,Scott Caldwell,24,6,M,559,0,0,0,0,0
MLS,New England Revolution,Andrew Farrell,23,2,D,630,0,0,0,0,0
MLS,New England Revolution,Bobby Shuttleworth,27,22,GK,630,0,0,67,0,0
MLS,New England Revolution,Kelyn Rowe,23,11,M,542,2,1,0,0,0
MLS,New England Revolution,Teal Bunbury,25,10,F,228,1,1,0,1,0
MLS,New York City Football Club,David Villa,33,7,F,405,2,1,0,0,0
MLS,New York City Football Club,Mehdi Ballouchy,32,20,M,301,1,0,2,0
MLS,New York City Football Club,Mix Diskerud,24,10,M,443,1,0,0,1,0
MLS,New York City Football Club,Patrick Mullins,23,14,F,186,1,0,0,0,0
MLS,New York City Football Club,Ned Grabavoy,31,11,M,630,0,2,0,1,0
MLS,New York City Football Club,Khiry Shelton,21,19,F,306,0,1,0,0,0
MLS,New York City Football Club,Matthew Dunn,21,23,M,0,0,0,0,0,0
MLS,New York City Football Club,Connor Brandt,22,16,D,0,0,0,0,0,0
MLS,New York City Football Club,Andrés Mendoza,25,2,D,0,0,0,0,0,0
MLS,New York City Football Club,Thomas McNamara,24,15,M,6,0,0,0,0,0
MLS,New York City Football Club,Chris Wingert,32,17,D,630,0,0,0,2,0
MLS,New York City Football Club,Jason Hernandez,31,21,D,495,0,0,0,1,0
MLS,New York City Football Club,Frank Lampard,36,8,M,0,0,0,0,0,0
MLS,New York City Football Club,Pablo Alvarez,34,22,M,7,0,0,0,0,0
MLS,New York City Football Club,George John,28,6,D,0,0,0,0,0,0
MLS,New York City Football Club,Kwame Watson-Siriboe,28,3,D,239,0,0,0,3,0
MLS,New York City Football Club,Shay Facey,21,24,D,93,0,0,0,1,1
MLS,New York City Football Club,Josh Williams,27,13,D,340,0,0,0,1,0
MLS,New York City Football Club,Tony Taylor,25,99,F,66,0,0,0,0,0
MLS,New York City Football Club,Kwadwo Poku,23,88,M,76,0,0,0,0,0
MLS,New York City Football Club,Andrew Jacobson,29,4,M,624,0,0,0,1,0
MLS,New York City Football Club,Jeb Brovsky,26,5,D,545,0,0,0,1,0
MLS,New York City Football Club,Sebastian Velasquez,24,26,M,239,0,0,0,0,0
